DynamicsColumnName,CleanedColumnName
ancestorformid_entitytype,Ancestor Form ID Entity Type
ancestorformidname,Ancestor Form ID Name
anchoroffset,Anchor Offset
anniversary,Anniversary
annotationid,Annotation ID
annualincome,Annual Income
annualincome_base,Annual Income Base
anonymouslink,Anonymous Link
anonymousvisitorid,Anonymous Visitor ID
appdesignerexperienceenabled,App Designer Experience Enabled
applicationid,Application ID
applicationiduri,Application IDuri
appmoduleid,App Module ID
appmoduleid_entitytype,App Module ID Entity Type
appmoduleidname,App Module ID Name
appmoduleidunique,App Module ID Unique
appmoduleroleid,App Module Role ID
appmoduleroleidunique,App Module Role ID Unique
appmoduleversion,App Module Version
appmodulexmlmanaged,App Module XML Managed
appointmentricheditorexperience,Appointment Rich Editor Experience
appopenuri,App Open URI
appversion,App Version
articlepublicnumber,Article Public Number
articlexml,Article XML
assistantname,Assistant Name
assistantphone,Assistant Phone
associatedconnectionroleid,Associated Connection Role ID
asyncautodelete,Async Autodelete
attacheddocumenturl,Attached Document URL
attachmentcontentid,Attachment Content ID
attachmentcount,Attachment Count
attachmenterrors,Attachment Errors
attachmentid,Attachment ID
attachmentid_entitytype,Attachment ID Entity Type
attachmentnumber,Attachment Number
attachmentopencount,Attachment Open Count
attributelogicalname,Attribute Logical Name
attributemapid,Attribute Map ID
attributemapidunique,Attribute Map ID Unique
AttributeName,Attribute Name
AttributeType,Attribute Type
AttributeTypeCode,Attribute Type Code
authorizationreferences,Authorization References
authorname,Author Name
autoapplydefaultoncasecreate,Autoapply Default On Case Create
autoapplydefaultoncaseupdate,Autoapply Default On Case Update
autoapplysla,Autoapply SLA
autocreatecontactonpromote,Autocreate Contact On Promote
automationid,Automation ID
averagetotalduration,Averagetotal Duration
azureactivedirectoryobjectid,Azure Active Directory Object ID
azureschedulerjobcollectionname,Azure Scheduler Job Collection Name
backgroundcolor,Background Color
baseamount,Basea Mount
baseamount_base,Basea Mount Base
baseconversationindexhash,Base Conversation Index Hash
basecurrencyid,Base Currency ID
basecurrencyid_entitytype,Base Currency ID Entity Type
basecurrencyidname,Base Currency ID Name
basecurrencyprecision,Base Currency Precision
basecurrencysymbol,Base Currency Symbol
baseisocurrencycode,Baseiso Currency Code
baseuom,Base UOM
baseuom_entitytype,Base UOM Entity Type
baseuomname,Base UOM Name
bcc,BCC
begindate,Begin Date
bias,Bias
billedserviceunits,Billed Service Units
billingaccountid,Billing Account ID
billingaccountid_entitytype,Billing Account ID Entity Type
billingaccountidname,Billing Account ID Name
billingaccountidyominame,Billing Account ID Yomi Name
billingcode,Billing Code
billingcontactid,Billing Contact ID
billingcontactid_entitytype,Billing Contact ID Entity Type
billingcontactidname,Billing Contact ID Name
billingcontactidyominame,Billing Contact ID Yomi Name
billingcustomerid,Billing Customer ID
billingcustomerid_entitytype,Billing Customer ID Entity Type
billingcustomeridname,Billing Customer ID Name
billingcustomeridtype,Billing Customer ID Type
billingcustomeridyominame,Billing Customer ID Yomi Name
billingendon,Billing End On
billingfrequencycode,Billing Frequency Code
billingstarton,Billing Start On
billto_addressid,Billto Address ID
billto_city,Billto City
billto_composite,Billto Composite
billto_contactname,Billto Contact Name
billto_country,Billto Country
billto_fax,Billto Fax
billto_line1,Billto Line 1
billto_line2,Billto Line 2
billto_line3,Billto Line 3
billto_name,Billto Name
billto_postalcode,Billto Postal Code
billto_stateorprovince,Billto State Or Province
billto_telephone,Billto Telephone
billtoaddress,Billto Address
billtoaddress_entitytype,Billto Address Entity Type
billtoaddressname,Billto Address Name
bingmapsapikey,Bing Mapsapi Key
birthdate,Birth Date
blocked,Blocked
blockedattachments,Blocked Attachments
blockedprofile,Blocked Profile
body,Body
bounce,Bounce
bouncescount,Bounce Scount
bounddashboarddefaultcardexpanded,Bound Dash Board Default Card Expanded
bpf_duration,Bpf Duration
bpf_jt_pcaid,Bpf Jt Pcaid
bpf_jt_pcaid_entitytype,Bpf Jt Pcaid Entity Type
bpf_jt_pcaidname,Bpf Jt Pcaid Name
